Make,Model,Body Type,Year,Engine Type,Engine Size,Transmission,Drive Type,Mileage,Condition,Steering Wheel,Cleared Customs,Color,Wheel Size,Headlights,Interior Color,Interior Material,Sunroof,Car Price
Toyota,Camry,Sedan,2007,Hybrid,2.4 L,Automatic,All Wheel Drive,"61,000 km",Car is not damaged,Left,No,Silver,R18,Хenon Headlights,Gray,Velour,No,"$5,500"
Hyundai,Sonata,Sedan,2010,Gasoline,2.4 L,Automatic,Front Wheel Drive,"163,000 miles",Car is not damaged,Left,Yes,White,R17,Хenon Headlights,Gray,Textile,No,"$8,200"
Mercedes-Benz,CLA-Class,Sedan,2018,Gasoline,2.0 L,Automatic,All Wheel Drive,"51,000 km",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Leather,Panoramic Sunroof,"$28,000"
Mercedes-Benz,GLE-Class,SUV / Crossover,2017,Gasoline,3.5 L,Automatic,All Wheel Drive,"63,000 miles",Car is not damaged,Left,Yes,White,R19,LED Headlights,Beige,Leather,Panoramic Sunroof,"$39,999"
Lexus,ES,Sedan,2013,Hybrid,3.0 L,Automatic,Front Wheel Drive,"75,000 miles",Car is not damaged,Left,Yes,Silver,R17,Хenon Headlights,Gray,Leather,Regular Sunroof,"$22,000"
Nissan,Rogue,SUV / Crossover,2017,Gasoline,2.5 L,Automatic,Front Wheel Drive,"82,000 miles",Car is not damaged,Left,Yes,White,R17,Halogen Headlights,Black,Textile,No,"$14,700"
Toyota,Camry,Sedan,2021,Hybrid,3.0 L,Automatic,Front Wheel Drive,"15,000 miles",Car is damaged,Left,Yes,Blue,R18,Хenon Headlights,Black,Leather,No,"$38,999"
Toyota,Camry,Sedan,2022,Gasoline,2.5 L,Automatic,Front Wheel Drive,"10,000 km",Car is not damaged,Left,Yes,Black,R17,Хenon Headlights,Gray,Other,No,"$39,800"
Nissan,Rogue,SUV / Crossover,2018,Gasoline,2.5 L,Automatic,All Wheel Drive,"101,000 miles",Car is not damaged,Left,Yes,Black,R17,LED Headlights,Black,Textile,No,"$17,500"
VAZ (Lada),2110,Sedan,2006,Gasoline,1.6 L,Manual,Front Wheel Drive,"200,000 km",Car is not damaged,Left,Yes,Black,R15,LED Headlights,Black,Textile,No,"1,000,000 ֏"
Opel,Astra,Hatchback,1999,Gasoline,1.2 L,Manual,Front Wheel Drive,"320,000 km",Car is not damaged,Left,Yes,Silver,R14,LED Headlights,Other,Other,Regular Sunroof,"$2,800"
VAZ (Lada),2112,Hatchback,2003,Gasoline,1.7 L,Manual,Front Wheel Drive,"309,000 km",Car is not damaged,Left,Yes,Silver,R13,Halogen Headlights,Black,Leatherette,No,"$2,850"
Lexus,LX,SUV / Crossover,2013,Gasoline,5.7 L,Automatic,All Wheel Drive,"158,000 km",Car is not damaged,Left,Yes,Black,R20,Хenon Headlights,Red,Leather,Regular Sunroof,NaN
VAZ (Lada),2113,Hatchback,2007,Gasoline,1.6 L,Manual,Front Wheel Drive,"301,000 km",Car is not damaged,Left,Yes,Black,R15,LED Headlights,Black,Leather,No,"$6,000"
BMW,X5,SUV / Crossover,2007,Gasoline,4.8 L,Automatic,All Wheel Drive,"170,000 km",Car is not damaged,Left,Yes,Black,R20,Хenon Headlights,Black,Leather,Panoramic Sunroof,"$18,000"
Mercedes-Benz,E-Class,Sedan,1996,Gasoline,2.0 L,Manual,Rear Wheel Drive,"245,000 km",Car is not damaged,Left,Yes,Green,R16,Хenon Headlights,Other,Other,Regular Sunroof,"$4,500"
BMW,X5,SUV / Crossover,2011,Gasoline,3.0 L,Automatic,All Wheel Drive,"210,000 km",Car is not damaged,Left,Yes,Black,R19,Хenon Headlights,Beige,Leather,Panoramic Sunroof,"$17,500"
Opel,Astra,Wagon,1998,Gasoline,1.6 L,Manual,Front Wheel Drive,"250,000 km",Car is not damaged,Left,Yes,Green,R15,LED Headlights,Black,Other,No,"$4,400"
